Trait Type,Element Name,Filename,Weight,Occurrence %
"HEAD","BackwardRedCap","BackwardRedCap.png",1,1.52%
"HEAD","BackwardWhiteCap","BackwardWhiteCap.png",1,1.52%
"HEAD","BandMVX","BandMVX.png",1,1.52%
"HEAD","BandNGMI","BandNGMI.png",1,1.52%
"HEAD","BeretBlack","BeretBlack.png",1,1.52%
"HEAD","BeretRed","BeretRed.png",1,1.52%
"HEAD","BobBlack","BobBlack.png",1,1.52%
"HEAD","BobWhite","BobWhite.png",1,1.52%
"HEAD","CanCampbell","CanCampbell.png",1,1.52%
"HEAD","CanHeizn","CanHeizn.png",1,1.52%
"HEAD","CapEgldRed","CapEgldRed.png",1,1.52%
"HEAD","CapMNGABlue","CapMNGABlue.png",1,1.52%
"HEAD","CapPHPurple","CapPHPurple.png",1,1.52%
"HEAD","CapXBlack","CapXBlack.png",1,1.52%
"HEAD","Chapka","Chapka.png",1,1.52%
"HEAD","Crown","Crown.png",1,1.52%
"HEAD","FedoraBlack","FedoraBlack.png",1,1.52%
"HEAD","FedoraWhite","FedoraWhite.png",1,1.52%
"HEAD","FunnelGold","FunnelGold.png",1,1.52%
"HEAD","FunnelSteel","FunnelSteel.png",1,1.52%
"HEAD","HairFrizzy","HairFrizzy.png",1,1.52%
"HEAD","HairKind","HairKind.png",1,1.52%
"HEAD","HairLilPunkBlack","HairLilPunkBlack.png",1,1.52%
"HEAD","HairLilPunkBrown","HairLilPunkBrown.png",1,1.52%
"HEAD","HairMiddlePart","HairMiddlePart.png",1,1.52%
"HEAD","HairProf","HairProf.png",1,1.52%
"HEAD","HairPunkBlack","HairPunkBlack.png",1,1.52%
"HEAD","HairPunkBlue","HairPunkBlue.png",1,1.52%
"HEAD","HairRaide","HairRaide.png",1,1.52%
"HEAD","HairRight","HairRight.png",1,1.52%
"HEAD","HairSmart","HairSmart.png",1,1.52%
"HEAD","HaloGold","HaloGold.png",1,1.52%
"HEAD","HaloSilver","HaloSilver.png",1,1.52%
"HEAD","HautDeFormeBlack","HautDeFormeBlack.png",1,1.52%
"HEAD","HornHelmet","HornHelmet.png",1,1.52%
"HEAD","Horns","Horns.png",1,1.52%
"HEAD","IceCream","IceCream.png",1,1.52%
"HEAD","Major","Major.png",1,1.52%
"HEAD","MangaBlackHair","MangaBlackHair.png",1,1.52%
"HEAD","MangaPinkHair","MangaPinkHair.png",1,1.52%
"HEAD","MelonBlack","MelonBlack.png",1,1.52%
"HEAD","MelonRed","MelonRed.png",1,1.52%
"HEAD","MelonWhite","MelonWhite.png",1,1.52%
"HEAD","MuletBlack","MuletBlack.png",1,1.52%
"HEAD","MuletBlond","MuletBlond.png",1,1.52%
"HEAD","NightHatBlue","NightHatBlue.png",1,1.52%
"HEAD","NightHatGreen","NightHatGreen.png",1,1.52%
"HEAD","NightHatRed","NightHatRed.png",1,1.52%
"HEAD","PartyBlue","PartyBlue.png",1,1.52%
"HEAD","PartyGreen","PartyGreen.png",1,1.52%
"HEAD","PartyRed","PartyRed.png",1,1.52%
"HEAD","PeakyBrown","PeakyBrown.png",1,1.52%
"HEAD","PeakyRed","PeakyRed.png",1,1.52%
"HEAD","PernBlackHair","PernBlackHair.png",1,1.52%
"HEAD","PernBlondHair","PernBlondHair.png",1,1.52%
"HEAD","SicilianBlue","SicilianBlue.png",1,1.52%
"HEAD","SicilianBrown","SicilianBrown.png",1,1.52%
"HEAD","SicilianGreen","SicilianGreen.png",1,1.52%
"HEAD","Sumo","Sumo.png",1,1.52%
"HEAD","Tissu","Tissu.png",1,1.52%
"HEAD","WalkMan","WalkMan.png",1,1.52%
"HEAD","WoolenHatBlack","WoolenHatBlack.png",1,1.52%
"HEAD","WoolenHatGreen","WoolenHatGreen.png",1,1.52%
"HEAD","WoolenHatRed","WoolenHatRed.png",1,1.52%
"MOUTH","Cigar","Cigar#40.png",40,8.89%
"MOUTH","Cigarette","Cigarette#30.png",30,6.67%
"MOUTH","Empty","Empty#100.png",100,22.22%
"MOUTH","Gag","Gag#30.png",30,6.67%
"MOUTH","Joint","Joint#50.png",50,11.11%
"MOUTH","Pipe01","Pipe01#20.png",20,4.44%
"MOUTH","Pipe02","Pipe02#25.png",25,5.56%
"MOUTH","RoseBlack","RoseBlack#10.png",10,2.22%
"MOUTH","RoseRed","RoseRed#10.png",10,2.22%
"MOUTH","RoseWhite","RoseWhite#10.png",10,2.22%
"MOUTH","RoseYellow","RoseYellow#10.png",10,2.22%
"MOUTH","SnakeGreen","SnakeGreen#25.png",25,5.56%
"MOUTH","SnakeYellow","SnakeYellow#10.png",10,2.22%
"MOUTH","TongueRed","TongueRed#35.png",35,7.78%
"MOUTH","Totoche","Totoche#45.png",45,10.00%
"SUITS","Anorak_Grey","Anorak_Grey.png",1,1.67%
"SUITS","Anorak_Red","Anorak_Red.png",1,1.67%
"SUITS","Anorak_White","Anorak_White.png",1,1.67%
"SUITS","Anorak_Yellow","Anorak_Yellow.png",1,1.67%
"SUITS","BFC","BFC.png",1,1.67%
"SUITS","FurBlue","FurBlue.png",1,1.67%
"SUITS","FurWhite","FurWhite.png",1,1.67%
"SUITS","FurYellow","FurYellow.png",1,1.67%
"SUITS","HoodieCult","HoodieCult.png",1,1.67%
"SUITS","HoodieHere","HoodieHere.png",1,1.67%
"SUITS","HoodieMvx","HoodieMvx.png",1,1.67%
"SUITS","HoodieOG","HoodieOG.png",1,1.67%
"SUITS","HoodieRug","HoodieRug.png",1,1.67%
"SUITS","HoodieSport","HoodieSport.png",1,1.67%
"SUITS","HoodieSTTZ","HoodieSTTZ.png",1,1.67%
"SUITS","HoodieZip","HoodieZip.png",1,1.67%
"SUITS","JacketBlack","JacketBlack.png",1,1.67%
"SUITS","JacketMoto","JacketMoto.png",1,1.67%
"SUITS","JacketRed","JacketRed.png",1,1.67%
"SUITS","KimonoRed","KimonoRed.png",1,1.67%
"SUITS","KimonoWhite","KimonoWhite.png",1,1.67%
"SUITS","KimonoYellow","KimonoYellow.png",1,1.67%
"SUITS","Major","Major.png",1,1.67%
"SUITS","MarcelBlack","MarcelBlack.png",1,1.67%
"SUITS","MarcelBlue","MarcelBlue.png",1,1.67%
"SUITS","MarcelRed","MarcelRed.png",1,1.67%
"SUITS","MarcelWhite","MarcelWhite.png",1,1.67%
"SUITS","MarcelYellow","MarcelYellow.png",1,1.67%
"SUITS","PostApoJacket","PostApoJacket.png",1,1.67%
"SUITS","PullBear","PullBear.png",1,1.67%
"SUITS","PullBlack","PullBlack.png",1,1.67%
"SUITS","PullBlue","PullBlue.png",1,1.67%
"SUITS","PullRed","PullRed.png",1,1.67%
"SUITS","PullWhite","PullWhite.png",1,1.67%
"SUITS","PullYellow","PullYellow.png",1,1.67%
"SUITS","PyjamaBlue","PyjamaBlue.png",1,1.67%
"SUITS","PyjamaRed","PyjamaRed.png",1,1.67%
"SUITS","SalopetteBlue","SalopetteBlue.png",1,1.67%
"SUITS","SalopetteRed","SalopetteRed.png",1,1.67%
"SUITS","SalopetteWhite","SalopetteWhite.png",1,1.67%
"SUITS","ShirtBlack","ShirtBlack.png",1,1.67%
"SUITS","ShirtBlue","ShirtBlue.png",1,1.67%
"SUITS","ShirtPink","ShirtPink.png",1,1.67%
"SUITS","ShirtRed","ShirtRed.png",1,1.67%
"SUITS","TankBlack","TankBlack.png",1,1.67%
"SUITS","TankRed","TankRed.png",1,1.67%
"SUITS","TankWhite","TankWhite.png",1,1.67%
"SUITS","TieShirtBlue","TieShirtBlue.png",1,1.67%
"SUITS","TieShirtGreen","TieShirtGreen.png",1,1.67%
"SUITS","TieShirtWhite","TieShirtWhite.png",1,1.67%
"SUITS","TShirtBlack","TShirtBlack.png",1,1.67%
"SUITS","TShirtBlue","TShirtBlue.png",1,1.67%
"SUITS","TShirtRed","TShirtRed.png",1,1.67%
"SUITS","TShirtWhite","TShirtWhite.png",1,1.67%
"SUITS","ZeroTsBlack","ZeroTsBlack.png",1,1.67%
"SUITS","ZeroTsBlue","ZeroTsBlue.png",1,1.67%
"SUITS","ZeroTsGreen","ZeroTsGreen.png",1,1.67%
"SUITS","ZeroTsRed","ZeroTsRed.png",1,1.67%
"SUITS","ZeroTsWhite","ZeroTsWhite.png",1,1.67%
"SUITS","ZeroTsYellow","ZeroTsYellow.png",1,1.67%
